パンフレットに掲載するサークル名を教えてください	エントリー時からサークル名を変更する場合のみ、エントリー時のサークル名を教えてください	サークルカット画像を提出してください	出展するジャンルを全て答えてください	1つ目の頒布リンクを教えてください	1つ目の頒布先の名前を教えてください	2つ目の頒布リンクを教えてください	2つ目の頒布先の名前を教えてください	3つ目の頒布リンクを教えてください	3つ目の頒布先の名前を教えてください	4つ目の頒布リンクを教えてください	4つ目の頒布先の名前を教えてください	5つ目の頒布リンクを教えてください	5つ目の頒布先の名前を教えてください	1つ目の頒布先・頒布物の説明を教えてください	2つ目の頒布先・頒布物の説明を教えてください	3つ目の頒布先・頒布物の説明を教えてください	4つ目の頒布先・頒布物の説明を教えてください	5つ目の頒布先・頒布物の説明を教えてください	X（Twitter）アカウントを公開したい場合は記載してください	もう1つX（Twitter）アカウントを公開したい場合は記載してください	他のSNSアカウントを公開したい場合、その名称を	Column 9
怒る弟子瑕疵		https://drive.google.com/open?id=1kihnLG8leBf2vqran8SKbDJWstnf2GKb	シナリオ/キャンペーン, 独自データ, 素材（オンラインセッション用）	https://okorudesikasi.booth.pm/items/8488128	【電子版】SW2.5同人サプリメント 泡沫世界アーティカタパウシス SPLL:E111083(Booth)									古代地中海風のオリジナルの泡沫世界、『アーティカタパウシス』を舞台にした同人サプリメントを頒布中！					@SWyattemitai			
幻想書斎		https://drive.google.com/open?id=1GoAvHwTajRJTe6Ksyxjyz2j8m9lk9dMB	シナリオ/キャンペーン, 独自データ	https://booth.pm/ja/items/4995890	シナリオ集「冒険者の旅路」	https://fantasiticden.booth.pm/items/6093526	データ集『Dr.マーキュリーの研究日誌』		シナリオ『砂漠に眠りし秘宝』	https://fantasiticden.booth.pm/items/6937544	1時間シナリオ集『ブルライト狂想曲』	https://fantasiticden.booth.pm/items/7533913	小説「放浪神の栞～ロクの冒険～」	基本ルールブックⅠ・Ⅱ・Ⅲを使用して遊べるシナリオ集です。 6本のシナリオとキャンペーン(12L帯40ページ程)を収録。	オリジナル薬草や魔法薬を紹介するデータ集。18種の薬草と70種の魔法薬を収録しています。薬草にはイラストも。	砂漠を舞台にしたシナリオ集です。 2～5Lv帯のキャンペーンが1つ、単発で3つのシナリオが収録されています。	ブルライト地方を舞台に、1時間の短いシナリオを10本収録しています。PL数も2～3人を主にしており気軽に遊べる作品です。	「冒険」をテーマにした、ソード・ワールド2.5の短編小説集です。 1万～2万字の読みごたえある物語を、全6作品収録。	@fantasticden369			協賛
鯖味噌定食屋		https://drive.google.com/open?id=1ffHwNWJW6GMvPytVab0tku2OvmWPa964	シナリオ/キャンペーン	https://reachingmoon.raku-uru.jp/item-detail/1889517	ソード・ワールド2.5　非公式キャンペーンシナリオブック『旅の栞Ⅱ』									初期作、3Lv、5Lvの全三話キャンペーンシナリオ本（物理）					@kikrkikr			
ナナイロダイス		https://drive.google.com/open?id=1zBj6l7NYCcgH_J5zcuwGD_9Dk5pRrauL	シナリオ/キャンペーン, 独自データ, 素材（オンラインセッション用）	https://nanairodaisu.booth.pm/	ナナイロダイス(Booth)									GM用新規罠・冒険者用新アイテム・シナリオ入り！「罠」にフォーカスしたオリジナルサプリメント頒布中です！					@nanairodice			協賛
こむぎもち			シナリオ/キャンペーン, 素材（立ち絵）	https://shira-mizu.booth.pm/	【BOOTH】こむぎもち屋台	https://talto.cc/users/fylmSFaC8QNM9a1kQVjqahlEzE52	【TALTO】こむぎもち							PC・NPCに使える立ち絵素材を頒布しています。無料版・差分付き有料版があります。	無料シナリオを掲載しています。書き下ろし新シナリオもあります。				@Shira_mizu			
Thyme		https://drive.google.com/open?id=1XgSneXPYgRnFIbzhd-0L77fdHJ4_wkkA	シナリオ/キャンペーン, 素材（その他）	https://thymetostart0.booth.pm/	Thyme（Booth）									ソードワールド2.5(SW2.5)の「ストーリー型サプリメント」と「タワーディフェンス型ボードゲーム」を頒布しています。					@thymetostart0			協賛
流浪の民		https://drive.google.com/open?id=1RVd65JIDbOrC8VPzZERInLtYRIcT57wL	独自データ	https://ruromin.wixsite.com/swfanruromin	流浪の民同人誌　販売HP	https://ruromin.booth.pm/items/6430981	エルフ！エルフ！！エルフ！！！（Booth）	https://ruromin.booth.pm/items/8596113	人造魔剣(アルタードウェポン)（Booth）	https://leonoristel.booth.pm/items/8597346	ユランアウルク博物誌（Booth）	https://leonoristel.booth.pm/items/8597573	アシワラ博物誌（Booth）	流浪の民で販売している4つの同人誌を纏めた専用HPです。	エルフの希少種を54種纏めた一冊です。	PLが好きに数値を弄れる「自分だけの1本を作れる」魔剣本です。	竜が国王の竜国を舞台にした博物誌です。	和風舞台をメインにした博物誌です。	@ruromin25	@pampkin50yen		協賛
地雷花火		https://drive.google.com/open?id=1TXNZPvJvJWJBE3kl1a0B8oMp_XXlfjG_	リプレイ/小説	https://decoy.booth.pm/	・ソードワールド小説本「転生したらラクシアだった」									無料の小説を領布しています。					@decoy_touryou			
BANG-G		https://drive.google.com/open?id=1llWtEqwU2zNT5OW-ngB2YzkXChY2ryG2	シナリオ/キャンペーン	https://note.com/banji9990/n/nd3b958e77c1f	ソード・ワールドシナリオ集 BANG-G（note）									幅広いレベルに対応した豊富なシナリオを頒布しています					@Bang_g_no1			協賛
Inside Rain		https://drive.google.com/open?id=1_3aTmd0wKdlRwG6mIZAJutbBC9EKzhoE	シナリオ/キャンペーン, 素材（立ち絵）, 素材（その他）	https://booth.pm/ja/items/7816909	【SW2.5】辺境ギルド天守亭の掲示板 vol.1【シナリオアンソロジー】（Booth）	https://insiderain.booth.pm/items/8598554	【SW2.5】辺境ギルド天守亭の掲示板 vol.2【シナリオアンソロジー】（Booth）	https://insiderain.booth.pm/items/8598063	【SW2.5】ゆる～い魔物立ち絵素材（Booth）	https://insiderain.booth.pm/items/8583546	【SW2.5】基本ルルブ風イラスト【素材】（Booth）			辺境の島を舞台にしたシナリオアンソロジーです。初心者向け(レベル2～5)、短時間のシナリオが3本収録されています。	辺境の島を舞台にした、ソード・ワールド2.5のアンソロジー第2弾です。4本のシナリオを収録しています。	ゆる～い見た目の魔物の立ち絵素材です。オンラインセッションなどにご利用ください。	「ソード・ワールド2.5　基本ルールブック1」の書影を模して描いた素材です。オンラインセッションなどにご利用ください。		@InsideRain_TRPG			
たけのこ邸		https://drive.google.com/open?id=1KB7fO5awa1GwPWK0NrPr60t2Gc8L0jvM	シナリオ/キャンペーン	https://takenokouta.booth.pm/	たけのこ邸(Booth)									個別設定ありの神官２PLのシナリオを公開しています。					@takenoko_tei			
トガキヤ		https://drive.google.com/open?id=1DsgA9i6L6NBQAuxJZY4oywD75dHBJvGI	シナリオ/キャンペーン, 独自データ, 素材（立ち絵）, 素材（オンラインセッション用）	https://togakiya.booth.pm/	イモータル・テイル ～ヴロチュカ英雄記～									ランドール地方を舞台にした学園ものキャンペーンシナリオを頒布しています。前後編あわせて全7話です。					@togakiya			
しーらうんじ		https://drive.google.com/open?id=1YWG6njR8bIN-d-e3-DzdYPm3Rd-3cFs1	シナリオ/キャンペーン, 素材（立ち絵）	https://seaglass2355.booth.pm/	しーらうんじ(Booth)	https://www.pixiv.net/novel/show.php?id=28560627	シナリオ『緑の盗人を追え』							無料で使える立ち絵素材を頒布しています。	冒険者レベル5-6想定のシナリオです。							
しゃちほこの尾びれ亭			シナリオ/キャンペーン, 独自データ, 素材（オンラインセッション用）	https://syachihokomaru.booth.pm/item_lists/nJgTVYPX	しゃちほこの尾びれ亭の同人誌（Booth）	https://talto.cc/users/DVUC9LjUviekGgXrbqXaJWAcLCm1	しゃちほこ丸のシナリオ（TALTO）	https://syachihokomaru.booth.pm/items/7536991	初心者さん向けルールブック副読本『いざ、ファンタジーな世界へ』	https://syachihokomaru.booth.pm/item_lists/rBkTlPKW	しゃちほこの尾びれ亭のアパレル（Booth）			独自の種族/技能/流派/魔物等を掲載した、オリジナルの舞台で、和風な冒険ができる同人サプリメントなどを頒布しています	初心者さんと初心者GMさんにおすすめのシナリオや、GMレスで遊べるシナリオなどを頒布しています	SW2.5の未経験者さん、初心者さんが気軽にルールブックを読みつつ遊んで慣れられる副読本です。GMレスシナリオ収録。	ソドワ好きの方のためのシャツなどを頒布しています！		@syachi_hoko_trp			
